id,Key,Russian,English,Chinese,Spanish,Brazilian portuguese,"Deutsche Sprache ",Japanese,French,Polish,Korean,Turkish,Italian,Hungary
39.0,ah_da_eta_washa_pochti_neludimaya_otchugdennost,"Ах, да, эта ваша почти нелюдимая отчуждённость...","Ah, yes, this your almost unsociable aloofness...",啊 对 你们这近乎孤僻的疏离...,"Ah, sí, esta su casi insociable lejanía...","Ah, sim, esse seu distanciamento quase antissocial...","Ach, ja, diese Ihre fast ungesellige Entfremdung...",ああ、そうだ、この君たちのほとんど人嫌いな疎遠さ…,"Ah, oui, votre espèce d'éloignement presque insociable...","Ach, tak, ta wasza prawie nieludzka odosobniona odciętość...","아, 맞다, 이 당신들의 거의 비사회적인 무관심...","Ah, evet, sizin bu neredeyse insanlık dışı yabancılaşmanız...","Ah, sì, questo vostro distacco quasi asociale...","Á, igen, ez a ti majdnem emberkerülő elidegenedettségetek..."
40.0,vy_vdoem_luchshyi_iz_duetov,Вы вдвоём лучший из дуэтов и всё такое,You two are the best of duets and all that,天作之合 诸如此类,Ustedes dos el mejor dúo y todo eso,Vocês dois são a melhor dupla e tudo mais,Ihr zwei seid das beste Duett und all das,二人は最高のデュエットだとかそんなこと,Vous formez le meilleur des duos et tout ça,Wy we dwoje najlepszy z duetów i wszystko takie,둘이서 최고의 듀엣이니 뭐니,Siz ikiniz en iyi ikili falan,Voi due siete il miglior duo e tutto quanto,Ti ketten vagytok a legjobb duó és minden ilyesmi
41.0,semeyana_idillia,"Семейная идиллия, домашний очаг, будущее гнездо славных ребятишек ","Family idyll, domestic hearth, future nest of glorious youngsters ",家庭美满 家园温馨 未来优秀孩子的摇篮,"Idilia familiar, hogar doméstico, futuro nido de jóvenes gloriosos","Idílio familiar, lar doméstico, futuro ninho de crianças maravilhosas","Familienidyll, häuslicher Herd, zukünftiges Nest prächtiger Kinder",家庭の理想郷、家族の炉辺、立派な子供たちの未来の巣,"L'idylle familiale, le foyer domestique, le futur nid de braves gosses","Rodzinna idylla, domowe ognisko, przyszłe gniazdo sławnych dzieciaków","가정의 화목, 가정의 화로, 훌륭한 아이들의 미래 보금자리","Aile idili, ev ocağı, geleceğin şanlı çocuklarının yuvası","Idillio familiare, focolare domestico, futuro nido di splendidi bambini","Családi idill, otthoni tűzhely, jövendő fészek derék gyermekeknek"
42.0,no_znaesh_kak_by_tam_ne_bylo,"Но, послушай, как бы там ни было, такое непподельное рвение, желание побега...","But, listen, no matter what, this unyielding zeal, this desperate to escapism... ",但听着 无论如何 这般执着的逃离...,"Pero, escucha, pese a todo, este afán de escape...","Mas, olha, de qualquer forma, um zelo tão desmedido, essa vontade de fuga...","Aber, hör zu, wie auch immer, solch ungebührlicher Eifer, dieses Verlangen zu fliehen...",だが、聞いてくれ、どうであれ、そんな並外れた熱意、逃避への願望は…,"Mais, écoute, quoi qu'il en soit, une telle ardeur indue, ce désir de fuite...","Ale, posłuchaj, jakby tam nie było, taki nienaturalny zapał, pragnienie ucieczki...","하지만, 들어 봐, 어쨌든, 그런 보통 아닌 열의, 도피에 대한 욕망은...","Ama, dinle, her neyse, böyle aşırı bir heves, kaçma arzusu...","Ma, senti, comunque sia, un tale zelo smodato, questo desiderio di fuga...","De, figyelj, akárhogy is, egy ilyen mértéktelen buzgóság, a menekülés vágya..."
43.0,ono_slegka_nastoragivaet,Оно... оно слегка настораживает,It... it slightly disconcerting,实在...令人不安,Es... es ligeramente inquietante,Isso... isso me preocupa um pouco,Es... es beunruhigt mich leicht,それは…それは少し不安を覚えるよ,Ça... ça m'inquiète un peu,Ono... ono nieco niepokoi,그게... 그게 좀 불안하게 해,O... beni biraz endişelendiriyor,Esso... esso mi preoccupa leggermente,Ez... ez enyhén aggaszt
44.0,ty_nadymivaesh_my_prosto,"Ты надумываешь, мы просто всегда мечтали о уединении","You're overthinking, we just always dreamed of little seclusion",你想多了 我们只是向往清净,"Te lo inventas, siempre soñamos con retiro","Você tá viajando, a gente sempre sonhou com solidão, só isso","Du denkst zu viel nach, wir haben einfach immer von Abgeschiedenheit geträumt",考えすぎだよ、私たちはただずっと孤独を夢見てきただけ,"Tu te fais des idées, on a toujours rêvé de solitude, c'est tout","Ty nadmyślasz, my po prostu zawsze marzyliśmy o odosobnieniu","넌 과민 반응이야, 우린 그냥 항상 고독을 꿈꿔 왔을 뿐이야","Fazla düşünüyorsun, biz sadece her zaman yalnızlık hayali kurduk, hepsi bu","Ti stai facendo delle idee, abbiamo sempre sognato la solitudine, tutto qui","Túlgondolod, mi mindig is a magányról álmodtunk, ennyi"
45.0,puskai_no_znachit_li_eto,"Пускай, но значит ли это что надо жить в сраном лесу, в десятке километров от ближайшего города, проникаясь этой псевдоинтеллектуальной ебаниной отшельника?","Maybe so, but must one live in a goddamn forest, miles from town, embracing this pseudo-intellectual bullshit of a hermit?",就算这样 非得住在该死的森林 离城十里 沉浸于隐士的伪知识分子扯淡？,"Quizá, pero ¿significa vivir en un maldito bosque, a decena de km de la ciudad, abrazando esta mierda pseudo-intelectual de ermitaño?","Tudo bem, mas isso significa que tem que viver numa porra de uma floresta, a uma dezena de quilômetros da cidade mais próxima, se impregnando dessa merda pseudo-intelectual de um eremita?","Mag sein, aber heißt das, dass man in einem scheiß Wald leben muss, zehn Kilometer von der nächsten Stadt entfernt, und diese pseudo-intellektuelle Scheiße eines Einsiedlers in sich aufnehmen?",そうだろう、だがだからってクソみたいな森に、最寄りの街から数十キロも離れて、この隠者の疑似知識人のでたらめに浸りながら生きなければならないのか？,"Soit, mais est-ce que ça signifie qu'il faut vivre dans une putain de forêt, à une dizaine de kilomètres de la ville la plus proche, en s'imprégnant de ces conneries pseudo-intellectuelles d'ermite ?","Niechaj, ale czy znaczy to że trzeba żyć w skurwysynskim lesie, w dziesiątku kilometrów od najbliższego miasta, przenikając się tą pseudointelektualną jebaniną pustelnika?","그래, 하지만 그래서 씨발 같은 숲에서, 가장 가까운 도시에서 수십 킬로미터나 떨어져서, 이 은자의 유사 지적 헛소리에 젖어 살아야 한다는 뜻이냐?","Kabul, ama bu siktirimin ormanında, en yakın şehirden on kilometre uzakta, bir münzevinin bu sahte-entellektüel saçmalığına kendini kaptırarak yaşamamız gerektiği anlamına mı geliyor?","Va bene, ma significa che si deve vivere in una cazzo di foresta, a una decina di chilometri dalla città più vicina, impregnandosi di queste cazzate pseudo-intellettuali da eremita?","Legyen, de ez azt jelenti, hogy egy rohadt erdőben kell élni, tíz kilométerre a legközelebbi várostól, átitatva magunkat ennek a remetének a ál-intellektuális baromságával?"
46.0,i_chto_ne_menee_vagno,"И что не менее важно, значит ли это что отныне я каждое утро должен доставлять вам кофе, как ёбанный курьер? ","And no less important, does it mean that from now on I have to deliver coffee to you every morning, like a fucking courier?",更重要的 难道我今后每天早晨都得像他妈外卖员给你们送咖啡？,"Y no menos importante, ¿significa que debo traerles café cada mañana, como un jodido mensajero?","E igualmente importante, isso significa que de agora em diante eu tenho que entregar café pra vocês toda manhã, que nem um fodido entregador?","Und ebenso wichtig, heißt das, dass ich von nun an jeden Morgen Kaffee zu euch bringen muss, wie ein verdammter Kurier?",そして同様に重要なのは、だからって今後私は毎朝、クソみたいな配達員のように君たちにコーヒーを届けなければならないのか？,"Et tout aussi important, est-ce que ça signifie que désormais je dois vous livrer du café chaque matin, comme un putain de coursier ?","I co nie mniej ważne, czy znaczy to że odtąd ja każdego rana mam dostarczać wam kawę, jak jebany kurier?","그리고 그만큼 중요한 건, 그래서 이제부터 내가 매일 아침, 빌어먹을 배달원처럼 너희에게 커피를 전해 줘야 한다는 뜻이냐?","Ve aynı derecede önemli olarak, bu artık her sabah size kahve getirmem gerektiği anlamına mı geliyor, lanet bir kurye gibi?","E non meno importante, significa che d'ora in poi devo portarvi il caffè ogni mattina, come un fottuto corriere?","És ugyanolyan fontosan, ez azt jelenti, hogy mostantól minden reggel kávét kell szállítanom nektek, mint egy kibaszott futár?"
47.0,eto_ne_prosto_kofe,"Это не просто кофе, Дим","It's not just coffee, Dim",不只是咖啡 迪姆,"No es solo café, Dim","Isso não é só café, Dim","Das ist nicht einfach Kaffee, Dim",これはただのコーヒーじゃない、ディム,"Ce n'est pas juste du café, Dim","To nie po prostu kawa, Dim","이건 그냥 커피가 아니야, 딤","Bu sadece kahve değil, Dim","Non è solo caffè, Dim","Ez nem csak kávé, Dim"
48.0,eto_lubimoe_kofe_v_postel_dlya_moei_lubimoy,"Это любимое кофе, в постель для моей любимой","It's the favorite coffee, in bed for my favorite",是送床前 给我最爱的人 她最爱的咖啡,"Es el café favorito, en cama para mi favorita","É o café favorito, na cama para a minha amada","Das ist der Lieblingskaffee, ins Bett für meine Geliebte",これは最爱のコーヒー、私の最爱のためのベッドの中へだ,"C'est le café préféré, au lit, pour ma bien-aimée","To ulubiona kawa, do łóżka dla mojej ulubionej","이건 가장 좋아하는 커피, 내 가장 사랑하는 사람을 위한 침대 안으로다","Bu sevdiğimin favori kahvesi, yatağına","È il caffè preferito, a letto per la mia amata","Ez a kedvenc kávé, ágyba a kedvencemnek"
49.0,ladno_spasibo_mugik,"Ладно, спасибо мужик, серьёзно","Alright, thanks man, seriously",好吧 谢了 老兄 真心的,"Vale, gracias hombre, en serio","Beleza, valeu mesmo, cara, sério","Okay, danke, Mann, ernsthaft",わかった、ありがとう、本当に,"D'accord, merci mec, sérieusement","Dobra, dziękuję chłop, serio","알았어, 고마워, 진심으로","Tamam, sağ ol adamım, cidden","Va bene, grazie, amico, seriamente","Jó, köszi, haver, komolyan"
